[ 2025-03-24 21:24:03,448 ] 16 root -INFO-Initiate the data ingestion
[ 2025-03-24 21:24:05,094 ] 53 root -INFO-Performed Traintest split
[ 2025-03-24 21:24:05,094 ] 56 root -INFO-Exporting
[ 2025-03-24 21:24:05,125 ] 59 root -INFO-Exported
[ 2025-03-24 21:24:05,126 ] 18 root -INFO-Data Initiation Completed
[ 2025-03-24 21:24:05,129 ] 21 root -INFO-Initiate the data Validation
[ 2025-03-24 21:24:05,223 ] 32 root -INFO-Required number of columns:2
[ 2025-03-24 21:24:05,223 ] 33 root -INFO-Data from columns:31
[ 2025-03-24 21:24:05,224 ] 32 root -INFO-Required number of columns:2
[ 2025-03-24 21:24:05,224 ] 33 root -INFO-Data from columns:31
[ 2025-03-24 21:24:05,323 ] 23 root -INFO-data Validation Completed
[ 2025-03-24 21:24:05,323 ] 26 root -INFO-Transformation started
[ 2025-03-24 21:24:05,323 ] 41 root -INFO-Data transformation started
[ 2025-03-24 21:24:05,350 ] 39 root -INFO-Entered the save_object method of MainUtils class
[ 2025-03-24 21:24:05,352 ] 43 root -INFO-Exited the save_object method of MainUtils class
